Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Weekend,Revenue,Month_December,Month_February,Month_July,Month_June,Month_March,Month_May,Month_November,Month_October,Month_September,VisitorType_Other,VisitorType_Returning_Visitor
-0.789,-0.659,-0.422,-0.241,-0.936,1.884,1.421,0.587,-0.086,3.811,2,2,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.124,1.425,1.086,0.515,0.103,1.884,1.248,0.161,-0.086,-0.302,3,2,4,1,0,1,0,0,1,0,0,0,0,0,0,0,1
2.203,-0.659,-0.422,-0.241,-0.342,-0.632,1.362,0.36,-0.086,-0.302,2,2,7,1,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.124,1.01,-0.422,-0.241,-0.416,-0.632,-0.726,-1.037,-0.086,-0.302,3,2,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2.535,2.13,-0.422,-0.241,-0.194,-0.632,-0.726,-0.941,-0.086,-0.302,1,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1
0.873,-0.659,0.332,-0.241,0.326,-0.632,-0.36,-0.86,-0.086,-0.302,2,4,8,2,0,1,1,0,0,0,0,0,0,0,0,0,0
-0.457,-0.62,-0.422,-0.241,2.275,-0.632,-0.388,-0.684,-0.086,-0.302,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
1.206,2.13,-0.422,-0.241,-0.268,-0.632,-0.106,-0.851,-0.086,-0.302,2,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.124,0.253,-0.422,-0.241,-0.453,1.884,-0.726,-0.327,-0.086,-0.302,2,2,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.602,-0.632,0.513,1.174,-0.086,1.754,2,2,3,13,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.124,0.107,0.332,1.018,0.178,-0.632,0.145,-0.419,-0.086,0.726,2,2,8,4,0,1,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.787,1.884,2.15,2.178,-0.086,-0.302,1,1,3,3,1,0,0,0,0,1,0,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.75,1.884,0.738,-0.06,-0.086,-0.302,1,1,4,2,0,1,0,0,0,0,0,0,1,0,0,0,1
-0.124,2.13,-0.422,-0.241,0.252,-0.632,2.15,1.485,-0.086,-0.302,3,2,6,1,1,0,0,0,0,0,0,0,0,1,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.787,-0.632,0.425,0.718,-0.086,-0.302,2,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1
1.206,2.13,4.102,1.362,0.846,-0.632,0.089,-0.575,-0.086,-0.302,3,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.789,-0.659,0.332,3.012,-0.342,-0.632,0.808,0.248,-0.086,-0.302,2,2,3,6,0,0,0,0,0,0,0,1,0,0,0,0,1
-0.457,2.13,-0.422,-0.241,-0.75,-0.632,-0.726,-0.763,-0.086,-0.302,1,2,2,10,1,0,0,0,0,0,0,0,1,0,0,0,1
0.873,-0.659,2.594,0.4,0.14,-0.632,1.545,0.755,-0.086,-0.302,3,2,8,4,1,0,0,0,0,0,0,1,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.156,-0.632,-0.726,-0.309,-0.086,-0.302,2,2,3,11,0,0,0,0,0,0,1,0,0,0,0,0,1
0.541,-0.659,-0.422,-0.241,0.066,-0.632,-0.726,-0.908,-0.086,2.783,2,2,8,3,0,0,0,0,0,0,0,1,0,0,0,0,1
0.208,0.117,-0.422,-0.241,-0.194,1.884,-0.726,-0.256,-0.086,-0.302,1,1,7,8,0,1,0,0,0,0,0,0,1,0,0,0,0
-0.124,1.039,-0.422,-0.241,-0.008,-0.632,-0.726,-0.258,-0.086,-0.302,3,2,6,2,1,1,0,0,0,0,0,0,1,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-1.047,1.884,-0.726,2.178,-0.086,-0.302,2,2,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.676,-0.059,1.064,0.499,-0.086,-0.302,3,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.787,1.884,1.287,1.705,-0.086,-0.302,2,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,0.549,-0.632,-0.726,-1.073,-0.086,-0.302,2,2,3,6,0,1,0,0,0,0,0,0,1,0,0,0,1
0.873,2.13,1.84,0.588,2.256,-0.632,-0.39,-0.961,-0.086,-0.302,3,2,6,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1.206,1.369,-0.422,-0.241,-0.676,0.559,-0.726,-0.73,-0.086,-0.302,4,1,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.789,-0.659,-0.422,-0.241,-0.713,-0.632,-0.726,-0.861,-0.086,-0.302,2,2,5,2,0,0,0,0,0,0,1,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.342,0.324,0.546,-0.529,-0.086,-0.302,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1
-0.789,-0.659,-0.422,-0.241,-0.416,-0.632,-0.726,-1.037,-0.086,-0.302,1,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1
