Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,cluster,cluster_name
0,0.0,0.0,0.0,4,1135.0,0.026666667,0.046666667,0.0,0.8,May,2,2,2,4,Returning_Visitor,False,False,1,Loyal
2,107.4,2.0,96.7,32,833.325,0.024509804,0.035882353,0.0,0.0,July,3,2,4,1,Returning_Visitor,False,True,1,Loyal
9,0.0,0.0,0.0,20,0.0,0.025925926,0.040922619,0.0,0.0,November,2,2,7,1,Returning_Visitor,False,False,0,Medium
2,86.0,0.0,0.0,18,0.0,0.0,0.005555556,0.0,0.0,May,3,2,6,2,New_Visitor,False,False,0,Medium
10,150.0,0.0,0.0,24,0.0,0.0,0.007993197,0.0,0.0,May,1,1,3,2,Returning_Visitor,False,False,1,Loyal
5,0.0,1.0,0.0,38,0.0,0.004545455,0.010037879,0.0,0.0,December,2,4,8,2,New_Visitor,False,True,0,Medium
1,2.0,0.0,0.0,143,0.0,0.004195804,0.014489415,0.0,0.0,November,2,2,1,1,Returning_Visitor,True,False,1,Loyal
6,187.0,0.0,0.0,22,0.0,0.007692308,0.01025641,0.0,0.0,March,2,2,3,1,Returning_Visitor,False,False,1,Loyal
2,47.0,0.0,0.0,17,411.625,0.0,0.023529412,0.0,0.0,March,2,2,4,3,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,13,0.0,0.015384615,0.061538462,0.0,0.4,May,2,2,3,13,Returning_Visitor,False,False,2,Low
2,39.5,1.0,161.0,34,0.0,0.010810811,0.021212121,0.0,0.2,May,2,2,8,4,Returning_Visitor,False,True,0,Medium
0,0.0,0.0,0.0,8,1178.0,0.15,0.15,0.0,0.0,June,1,1,3,3,Returning_Visitor,True,False,1,Loyal
0,0.0,0.0,0.0,9,1548.0,0.018181818,0.03030303,0.0,0.0,November,1,1,4,2,Returning_Visitor,False,True,1,Loyal
2,216.6,0.0,0.0,36,0.0,0.040350877,0.069414101,0.0,0.0,October,3,2,6,1,Returning_Visitor,True,False,0,Medium
0,0.0,0.0,0.0,8,0.0,0.014285714,0.05,0.0,0.0,November,2,2,3,1,Returning_Visitor,False,False,1,Loyal
6,162.7,6.0,205.0,52,0.0,0.010112994,0.017261259,0.0,0.0,November,3,2,4,2,Returning_Visitor,False,False,1,Loyal
0,0.0,1.0,416.0,20,0.0,0.019047619,0.038095238,0.0,0.0,May,2,2,3,6,Returning_Visitor,False,False,1,Loyal
1,154.5,0.0,0.0,9,0.0,0.0,0.0125,0.0,0.0,November,1,2,2,10,Returning_Visitor,True,False,2,Low
5,0.0,4.0,82.0,33,0.0,0.028205128,0.050940171,0.0,0.0,May,3,2,8,4,Returning_Visitor,True,False,0,Medium
0,0.0,0.0,0.0,25,0.0,0.0,0.024,0.0,0.0,March,2,2,3,11,Returning_Visitor,False,False,2,Low
4,0.0,0.0,0.0,31,0.0,0.0,0.008823529,0.0,0.6,May,2,2,8,3,Returning_Visitor,False,False,0,Medium
3,40.0,0.0,0.0,24,3830.0,0.0,0.025333333,0.0,0.0,November,1,1,7,8,New_Visitor,False,True,0,Medium
2,87.5,0.0,0.0,29,0.0,0.0,0.025287356,0.0,0.0,November,3,2,6,2,Returning_Visitor,True,True,0,Medium
0,0.0,0.0,0.0,1,565.0,0.0,0.1,0.0,0.0,November,2,2,3,3,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,11,58.025,0.022222222,0.044444444,0.0,0.0,November,3,2,1,2,Returning_Visitor,True,False,1,Loyal
0,0.0,0.0,0.0,8,258.0,0.025,0.075,0.0,0.0,March,2,2,3,1,Returning_Visitor,False,False,1,Loyal
0,0.0,0.0,0.0,44,0.0,0.0,0.004651163,0.0,0.0,November,2,2,3,6,Returning_Visitor,False,True,1,Loyal
5,169.975,3.0,106.0,90,0.0,0.004166667,0.007479289,0.0,0.0,November,3,2,6,1,Returning_Visitor,False,True,0,Medium
